Netid State  Recv-Q Send-Q                                          Local Address:Port                    Peer Address:Port  Process                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
u_str ESTAB  0      0                                                           * 31901                              * 31902  users:(("vmtoolsd",pid=3170,fd=18))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
u_str ESTAB  0      0                                                           * 30551                              * 30552  users:(("gsd-power",pid=3130,fd=13))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
u_str ESTAB  0      0                                                           * 28800                              * 28802  users:(("pipewire-pulse",pid=2778,fd=2),("pipewire-pulse",pid=2778,fd=1))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
u_str ESTAB  0      0                                                           * 24872                              * 24188  users:(("colord",pid=1996,fd=10))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
u_str ESTAB  0      0                                                           * 17561                              * 16275  users:(("systemd-oomd",pid=653,fd=10))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
u_str ESTAB  0      0                                   /run/user/1000/at-spi/bus 31288                              * 31854  users:(("dbus-daemon",pid=3007,fd=22))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
u_str ESTAB  0      0                                                           * 30851                              * 30852  users:(("gnome-shell",pid=2993,fd=60),("gnome-shell",pid=2993,fd=52))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
u_str ESTAB  0      0                                                           * 30358                              * 30850  users:(("evolution-addre",pid=3514,fd=9))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
u_dgr UNCONN 0      0                                                           * 29326                              * 0      users:(("gnome-shell",pid=2993,fd=9))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
u_str LISTEN 0      5                              /run/user/1000/keyring/control 27912                              * 0      users:(("gnome-keyring-d",pid=2780,fd=3),("systemd",pid=2754,fd=35))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
u_str ESTAB  0      0                                          /run/user/1000/bus 41377                              * 42217  users:(("dbus-daemon",pid=2790,fd=91))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
u_str LISTEN 0      4096                 /run/user/1000/gnupg/S.gpg-agent.browser 27914                              * 0      users:(("systemd",pid=2754,fd=36))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
u_str ESTAB  0      0                                                           * 30790                              * 30315  users:(("gvfs-gphoto2-vo",pid=3480,fd=6))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
u_str ESTAB  0      0                                 /run/systemd/journal/stdout 29741                              * 28577  users:(("systemd-journal",pid=368,fd=113),("systemd",pid=1,fd=351))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
u_str ESTAB  136    0                                                           * 28471                              * 28472  users:(("gnome-shell",pid=2993,fd=26))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
u_str LISTEN 0      4096                   /run/user/1000/gnupg/S.gpg-agent.extra 27916                              * 0      users:(("systemd",pid=2754,fd=37))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
u_str ESTAB  0      0                                                           * 35210                              * 35209  users:(("WebExtensions",pid=4632,fd=8))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
u_str ESTAB  0      0                                          /run/user/1000/bus 30279                              * 30278  users:(("dbus-daemon",pid=2790,fd=55))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
u_str ESTAB  0      0                                 /run/systemd/journal/stdout 28797                              * 28796  users:(("systemd-journal",pid=368,fd=86),("systemd",pid=1,fd=382))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
u_dgr ESTAB  0      0                                                           * 11952                              * 11951  users:(("(udev-worker",pid=129473,fd=7),("systemd-udevd",pid=427,fd=7))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
u_str ESTAB  0      0                                 /run/dbus/system_bus_socket 31293                              * 31871  users:(("dbus-daemon",pid=1051,fd=48))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
u_dgr ESTAB  0      0                                                           * 29257                              * 10960  users:(("gnome-keyring-d",pid=2780,fd=11))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
u_str LISTEN 0      4096                         /run/user/1000/gnupg/S.gpg-agent 27918                              * 0      users:(("systemd",pid=2754,fd=40))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
u_str ESTAB  0      0                                   /run/user/1000/pipewire-0 42305                              * 41454  users:(("pipewire",pid=2770,fd=54))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
u_str ESTAB  0      0                                   /run/user/1000/pipewire-0 30958                              * 30957  users:(("pipewire",pid=2770,fd=40))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
u_str ESTAB  0      0                                 /run/systemd/journal/stdout 29979                              * 29977  users:(("systemd-journal",pid=368,fd=117),("systemd",pid=1,fd=334))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
u_str LISTEN 0      4096                           /run/user/1000/gnupg/S.keyboxd 27920                              * 0      users:(("systemd",pid=2754,fd=41))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
u_str ESTAB  0      0                                                           * 30775                              * 30284  users:(("goa-daemon",pid=3296,fd=12))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
u_str ESTAB  0      0                                 /run/systemd/journal/stdout 29903                              * 28620  users:(("systemd-journal",pid=368,fd=120),("systemd",pid=1,fd=340))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
u_str ESTAB  0      0                                                           * 28401                              * 29307  users:(("at-spi2-registr",pid=3064,fd=2),("at-spi2-registr",pid=3064,fd=1),("dbus-daemon",pid=3007,fd=2),("dbus-daemon",pid=3007,fd=1),("at-spi-bus-laun",pid=2995,fd=2),("at-spi-bus-laun",pid=2995,fd=1))                                                                                                                                                                                                                                                                                                                                                                                                                                              
u_str ESTAB  0      0                                                           * 19013                              * 19014  users:(("power-profiles-",pid=1092,fd=2),("power-profiles-",pid=1092,fd=1))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
u_str ESTAB  0      0                                                           * 35234                              * 35235  users:(("firefox",pid=4347,fd=106))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
u_str ESTAB  0      0                                      /run/snapd-snap.socket 34846                              * 34845  users:(("snapd",pid=1122,fd=14))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
u_str LISTEN 0      4096                              /run/user/1000/pulse/native 27922                              * 0      users:(("pipewire-pulse",pid=2778,fd=3),("systemd",pid=2754,fd=42))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
u_str ESTAB  0      0                                                           * 42251                              * 42252  users:(("gnome-terminal-",pid=5400,fd=6))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
u_str ESTAB  0      0                                                           * 30959                              * 30435  users:(("gnome-shell",pid=2993,fd=68))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
u_str ESTAB  0      0                                                           * 30021                              * 31013  users:(("gsd-wacom",pid=3139,fd=3))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
u_dgr UNCONN 0      0                                                           * 29258                              * 0      users:(("gnome-keyring-d",pid=2780,fd=12))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
u_str LISTEN 0      4096                                /run/user/1000/pipewire-0 27924                              * 0      users:(("pipewire",pid=2770,fd=3),("systemd",pid=2754,fd=43))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
u_dgr ESTAB  0      0                                                           * 10939                              * 10938  users:(("systemd",pid=1,fd=200))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
u_str ESTAB  0      0                                                           * 31871                              * 31293  users:(("xdg-desktop-por",pid=3760,fd=8))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
u_str LISTEN 0      4096                        /run/user/1000/pipewire-0-manager 27926                              * 0      users:(("pipewire",pid=2770,fd=4),("systemd",pid=2754,fd=44))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
u_str ESTAB  0      0                                                           * 30274                              * 30275  users:(("ibus-portal",pid=3438,fd=8))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
u_str ESTAB  0      0                                                           * 28433                              * 28434  users:(("dbus-daemon",pid=3007,fd=8))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
u_str ESTAB  0      0                                 /run/dbus/system_bus_socket 28136                              * 29021  users:(("dbus-daemon",pid=1051,fd=65))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
u_str LISTEN 0      4096                         /run/user/1000/pk-debconf-socket 27928                              * 0      users:(("systemd",pid=2754,fd=45))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
u_str ESTAB  0      0                                 /run/dbus/system_bus_socket 30284                              * 30775  users:(("dbus-daemon",pid=1051,fd=57))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
u_str ESTAB  0      0                                                           * 28620                              * 29903  users:(("gsd-housekeepin",pid=3121,fd=2),("gsd-housekeepin",pid=3121,fd=1))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
u_str LISTEN 0      4096                /run/user/1000/snapd-session-agent.socket 27930                              * 0      users:(("systemd",pid=2754,fd=46))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
u_str ESTAB  0      0                                 /run/systemd/journal/stdout 19047                              * 19045  users:(("systemd-journal",pid=368,fd=32),("systemd",pid=1,fd=420))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
u_str LISTEN 0      4096                           /run/systemd/io.systemd.sysext 12123                              * 0      users:(("systemd",pid=1,fd=469))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
u_str ESTAB  0      0                                                           * 31369                              * 31370  users:(("xdg-desktop-por",pid=3760,fd=18))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
u_str ESTAB  0      0                                                           * 30957                              * 30958  users:(("gnome-shell",pid=2993,fd=66))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
u_str ESTAB  0      0                                                           * 29976                              * 29978  users:(("goa-daemon",pid=3296,fd=1))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
u_dgr ESTAB  0      0                                                           * 18382                              * 18383  users:(("systemd",pid=1,fd=203))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
u_str ESTAB  0      0                                                           * 31854                              * 31288  users:(("vmtoolsd",pid=3170,fd=13))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
u_str ESTAB  0      0                                                           * 31226                              * 31227  users:(("xdg-desktop-por",pid=3767,fd=5))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
u_str LISTEN 0      4096            /run/user/1000/speech-dispatcher/speechd.sock 27932                              * 0      users:(("systemd",pid=2754,fd=47))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
u_str LISTEN 0      4096                     /run/user/1000/gnupg/S.gpg-agent.ssh 27973                              * 0      users:(("systemd",pid=2754,fd=31))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
u_str ESTAB  0      0                                                           * 19079                              * 19082  users:(("accounts-daemon",pid=1132,fd=2),("accounts-daemon",pid=1132,fd=1))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
