Id,Timestamp,ExeInfo,ExeInfoDescription,ExeTimestamp,SidType,Sid,UserName,UserId,AppId,BytesReceived,BytesSent,InterfaceLuid,InterfaceType,L2ProfileFlags,L2ProfileId,ProfileName
38,2025-05-30 18:21:00,,,,UnknownOrUserSid,,,2,1,204173916,4848413,19985273102270464,IF_TYPE_IEEE80211,0,268435457,
39,2025-05-30 18:21:00,DoSvc,,,UnknownOrUserSid,S-1-5-21-3742442691-1288352992-3554343984-1000,,1285,1558,5155366,106659,19985273102270464,IF_TYPE_IEEE80211,0,268435457,
40,2025-05-30 18:21:00,CryptSvc,,,UnknownOrUserSid,S-1-5-21-3742442691-1288352992-3554343984-1000,,1285,1559,8533,412,19985273102270464,IF_TYPE_IEEE80211,0,268435457,
41,2025-05-30 18:21:00,DiagTrack,,,UnknownOrUserSid,S-1-5-21-3742442691-1288352992-3554343984-1000,,1285,1560,74917,10034,19985273102270464,IF_TYPE_IEEE80211,0,268435457,
42,2025-05-30 18:21:00,\device\harddiskvolume3\program files (x86)\microsoft\edgeupdate\microsoftedgeupdate.exe,,,UnknownOrUserSid,S-1-5-21-3742442691-1288352992-3554343984-1000,,1285,1561,181498493,2577957,19985273102270464,IF_TYPE_IEEE80211,0,268435457,
43,2025-05-30 18:21:00,\device\harddiskvolume3\program files (x86)\microsoft\edgeupdate\microsoftedgeupdate.exe,,,LocalSystem,S-1-5-18,,4,1561,8733,3562,19985273102270464,IF_TYPE_IEEE80211,0,268435457,
44,2025-05-30 18:21:00,W32Time,,,LocalService,S-1-5-19,,6,1562,110,108,19985273102270464,IF_TYPE_IEEE80211,0,268435457,
45,2025-05-30 18:21:00,\device\harddiskvolume3\windows\system32\taskhostw.exe,,,LocalSystem,S-1-5-18,,4,1563,383993,126086,19985273102270464,IF_TYPE_IEEE80211,0,268435457,
46,2025-05-30 18:21:00,WpnService,,,LocalSystem,S-1-5-18,,4,1564,6419,4120,19985273102270464,IF_TYPE_IEEE80211,0,268435457,
47,2025-05-30 18:21:00,UsoSvc,,,LocalSystem,S-1-5-18,,4,1565,5179,2741,19985273102270464,IF_TYPE_IEEE80211,0,268435457,
49,2025-05-30 18:30:00,HpTouchpointAnalyticsService,,,LocalSystem,S-1-5-18,,4,1599,8740,2483,19985273102270464,IF_TYPE_IEEE80211,0,268435457,
50,2025-05-30 18:30:00,netprofm,,,NetworkService,S-1-5-20,,24,1436,966,942,19985273102270464,IF_TYPE_IEEE80211,0,268435457,
51,2025-05-30 18:30:00,\device\harddiskvolume3\program files (x86)\microsoft\edgeupdate\microsoftedgeupdate.exe,,,LocalSystem,S-1-5-18,,4,1561,52488,24606,19985273102270464,IF_TYPE_IEEE80211,0,268435457,
52,2025-05-30 18:30:00,\device\harddiskvolume3\program files (x86)\microsoft\edgeupdate\microsoftedgeupdate.exe,,,UnknownOrUserSid,S-1-5-21-3742442691-1288352992-3554343984-1000,,1285,1561,33508,27015,19985273102270464,IF_TYPE_IEEE80211,0,268435457,
53,2025-05-30 18:30:00,\device\harddiskvolume3\program files\common files\microsoft shared\clicktorun\officeclicktorun.exe,,,LocalSystem,S-1-5-18,,4,1600,9013,4846,19985273102270464,IF_TYPE_IEEE80211,0,268435457,
54,2025-05-30 18:30:00,Dnscache,,,NetworkService,S-1-5-20,,24,855,29001,16661,19985273102270464,IF_TYPE_IEEE80211,0,268435457,
55,2025-05-30 18:30:00,System\IPv6 Control Message,,,LocalSystem,S-1-5-18,,4,856,0,996,19985273102270464,IF_TYPE_IEEE80211,0,268435457,
56,2025-05-30 18:30:00,System,,,LocalSystem,S-1-5-18,,4,161,0,1168,19985273102270464,IF_TYPE_IEEE80211,0,268435457,
57,2025-05-30 18:30:00,Dhcp,,,LocalService,S-1-5-19,,6,854,0,1400,19985273102270464,IF_TYPE_IEEE80211,0,268435457,
58,2025-05-30 18:30:00,,,,UnknownOrUserSid,,,2,1,64628121,5451118,19985273102270464,IF_TYPE_IEEE80211,0,268435457,
59,2025-05-30 18:30:00,wlidsvc,,,LocalSystem,S-1-5-18,,4,1549,49563,24635,19985273102270464,IF_TYPE_IEEE80211,0,268435457,
60,2025-05-30 18:30:00,\device\harddiskvolume3\windows\system32\smartscreen.exe,,,UnknownOrUserSid,S-1-5-21-3742442691-1288352992-3554343984-1000,,1285,1601,668129,26654,19985273102270464,IF_TYPE_IEEE80211,0,268435457,
61,2025-05-30 18:30:00,wlidsvc,,,UnknownOrUserSid,S-1-5-21-3742442691-1288352992-3554343984-1000,,1285,1549,17594,7058,19985273102270464,IF_TYPE_IEEE80211,0,268435457,
62,2025-05-30 18:30:00,Microsoft.Windows.CloudExperienceHost_10.0.22621.2506_neutral_neutral_cw5n1h2txyewy,,,UnknownOrUserSid,S-1-5-21-3742442691-1288352992-3554343984-1000,,1285,1286,6662254,1096420,19985273102270464,IF_TYPE_IEEE80211,0,268435457,
63,2025-05-30 18:30:00,WaaSMedicSvc,,,LocalSystem,S-1-5-18,,4,1555,8687,2273,19985273102270464,IF_TYPE_IEEE80211,0,268435457,
64,2025-05-30 18:30:00,wlidsvc,,,UnknownOrUserSid,S-1-5-21-3742442691-1288352992-3554343984-1001,,1602,1549,740490,283917,19985273102270464,IF_TYPE_IEEE80211,0,268435457,
65,2025-05-30 18:30:00,DoSvc,,,UnknownOrUserSid,S-1-5-21-3742442691-1288352992-3554343984-1000,,1285,1558,42902,8777,19985273102270464,IF_TYPE_IEEE80211,0,268435457,
66,2025-05-30 18:30:00,Spooler,,,LocalSystem,S-1-5-18,,4,1603,0,0,0,0,0,0,
67,2025-05-30 18:30:00,DiagTrack,,,UnknownOrUserSid,S-1-5-21-3742442691-1288352992-3554343984-1000,,1285,1560,16753,19476,19985273102270464,IF_TYPE_IEEE80211,0,268435457,
68,2025-05-30 18:30:00,\device\harddiskvolume3\windows\system32\taskhostw.exe,,,LocalSystem,S-1-5-18,,4,1563,28930,19081,19985273102270464,IF_TYPE_IEEE80211,0,268435457,
69,2025-05-30 18:30:00,WpnService,,,LocalSystem,S-1-5-18,,4,1564,14308,9404,19985273102270464,IF_TYPE_IEEE80211,0,268435457,
